iter	Passed	Remaining
0	131	130927
1	250	124804
2	376	125090
3	505	125984
4	636	126730
5	774	128233
6	907	128676
7	1047	129882
8	1175	129467
9	1308	129538
10	1439	129444
11	1572	129430
12	1708	129721
13	1845	129945
14	1979	129989
15	2114	130020
16	2251	130168
17	2387	130255
18	2525	130387
19	2656	130152
20	2791	130132
21	2927	130135
22	3063	130114
23	3192	129847
24	3329	129843
25	3463	129762
26	3600	129750
27	3733	129591
28	3868	129530
29	4024	130117
30	4152	129806
31	4284	129606
32	4422	129602
33	4554	129410
34	4701	129631
35	4844	129726
36	4977	129562
37	5113	129464
38	5249	129350
39	5386	129265
40	5524	129226
41	5662	129147
42	5802	129136
43	5955	129398
44	6086	129173
45	6216	128934
46	6352	128798
47	6483	128585
48	6616	128414
49	6750	128262
50	6885	128122
51	7027	128113
52	7163	127996
53	7297	127834
54	7431	127690
55	7562	127488
56	7698	127360
57	7839	127319
58	7974	127181
59	8108	127039
60	8244	126908
61	8373	126678
62	8507	126533
63	8650	126509
64	8782	126327
65	8925	126305
66	9061	126177
67	9195	126037
68	9327	125852
69	9458	125659
70	9590	125480
71	9720	125280
72	9854	125135
73	9987	124980
74	10118	124797
75	10255	124683
76	10385	124492
77	10516	124305
78	10649	124157
79	10784	124019
80	10921	123906
81	11057	123793
82	11190	123636
83	11323	123482
84	11455	123314
85	11594	123220
86	11727	123074
87	11862	122940
88	11995	122787
89	12130	122652
90	12265	122521
91	12406	122447
92	12540	122307
93	12677	122188
94	12811	122048
95	12948	121929
96	13085	121815
97	13223	121708
98	13355	121546
99	13488	121395
100	13622	121250
101	13762	121162
102	13897	121032
103	14033	120901
104	14168	120773
105	14303	120639
106	14445	120560
107	14587	120478
108	14720	120331
109	14855	120196
110	14990	120059
111	15126	119934
112	15262	119803
113	15394	119645
114	15533	119537
115	15672	119433
116	15807	119301
117	15942	119166
118	16078	119031
119	16212	118888
120	16349	118767
121	16484	118630
122	16622	118521
123	16757	118384
124	16893	118251
125	17026	118101
126	17169	118026
127	17309	117923
128	17447	117803
129	17584	117682
130	17721	117554
131	17856	117417
132	17986	117250
133	18120	117104
134	18254	116963
135	18384	116796
136	18519	116656
137	18655	116531
138	18798	116442
139	18933	116308
140	19071	116190
141	19210	116077
142	19355	115999
143	19496	115896
144	19635	115783
145	19768	115633
146	19901	115485
147	20033	115330
148	20168	115190
149	20301	115042
150	20433	114887
151	20570	114762
152	20705	114624
153	20846	114518
154	20976	114355
155	21113	114228
156	21247	114084
157	21382	113950
158	21517	113814
159	21650	113665
160	21790	113554
161	21925	113419
162	22058	113270
163	22194	113140
164	22329	113002
165	22465	112871
166	22601	112735
167	22735	112595
168	22873	112474
169	23008	112336
170	23145	112205
171	23282	112079
172	23427	111992
173	23563	111860
174	23702	111741
175	23838	111605
176	23972	111465
177	24113	111354
178	24244	111201
179	24379	111060
180	24522	110959
181	24662	110846
182	24809	110762
183	24953	110662
184	25094	110550
185	25227	110405
186	25361	110259
187	25496	110122
188	25628	109970
189	25760	109821
190	25890	109660
191	26022	109513
192	26156	109370
193	26288	109218
194	26421	109072
195	26553	108924
196	26689	108788
197	26821	108641
198	26952	108485
199	27085	108343
200	27217	108191
201	27347	108035
202	27487	107917
203	27623	107787
204	27756	107642
205	27887	107488
206	28018	107338
207	28150	107190
208	28281	107036
209	28413	106890
210	28544	106738
211	28683	106616
212	28816	106471
213	28962	106377
214	29101	106254
215	29233	106107
216	29369	105973
217	29507	105846
218	29645	105722
219	29779	105582
220	29913	105440
221	30043	105287
222	30181	105161
223	30314	105018
224	30447	104875
225	30583	104742
226	30716	104596
227	30849	104456
228	30982	104312
229	31123	104195
230	31260	104065
231	31392	103920
232	31534	103806
233	31674	103685
234	31809	103550
235	31951	103435
236	32084	103292
237	32227	103181
238	32363	103049
239	32497	102907
240	32633	102776
241	32776	102662
242	32913	102532
243	33047	102393
244	33184	102263
245	33323	102138
246	33463	102015
247	33600	101886
248	33739	101759
249	33875	101626
250	34005	101473
251	34135	101323
252	34269	101183
253	34402	101040
254	34535	100898
255	34666	100749
256	34798	100605
257	34942	100493
258	35075	100351
259	35211	100217
260	35344	100075
261	35479	99938
262	35621	99821
263	35759	99693
264	35890	99545
265	36025	99407
266	36162	99278
267	36298	99142
268	36433	99007
269	36567	98868
270	36704	98736
271	36836	98590
272	36968	98448
273	37104	98313
274	37235	98167
275	37372	98033
276	37507	97897
277	37643	97763
278	37783	97642
279	37919	97507
280	38054	97371
281	38193	97243
282	38326	97102
283	38460	96964
284	38597	96831
285	38730	96689
286	38864	96550
287	38998	96413
288	39140	96293
289	39277	96162
290	39408	96016
291	39543	95879
292	39679	95745
293	39821	95626
294	39956	95489
295	40110	95398
296	40248	95267
297	40378	95120
298	40511	94978
299	40648	94847
300	40782	94708
301	40918	94573
302	41050	94429
303	41185	94293
304	41318	94152
305	41453	94014
