Wine,Grape sort,Year,Region,Country,Acetoine,Acetaldehyde,Methanol,1-propanol,Ethyl lactate,Isobutanol,1-butanol,2-butanol,2-methyl-1-butanol,3-methyl-1-butanol,2-methyl-1-propanol,1-pentanol,1-hexanol,"2,3-butanediol",2-phenylethanol,3-(Methylthio)-1-propanol,Hexyl acetate,Ethyl octanoate,Diethyl succinate,2-phenylethyl acetate,Diethyl malate,Ethyl decanoate,Isoamyl alcohol,Isoamyl acetate,1-heptanol,Ethyl acetate,Isopropyl acetate,Isobutyl acetate,Ethyl butyrate,Ethyl hexanoate,Ethyl isovalerate,Pentyl acetate,Phenyl acetate,Ethyl caprylate,alpha-TERPINEOL,Linalool ,Nerol,Citronellol,Geraniol,1-octanol,Hexanoic acid,Octanoic acid,Decanoic acid,Propanoic acid,butyric acid,2-methylpropanoic acid,2-methylbutyric acid,3-methylbutyric acid,Dodecanoic acid,DOI,Descriptors,Herbs and spices,Tobacco/Smoke,Wood,Berries,Citrus,Fruits,Nuts,Coffee,Chocolate/Cacao,Flowers
Nobile,Rubin,2017,,Bulgaria,0,33.76,110.03,0,0,0,0,0.05,373.02,0,0,0.05,6.64,0,0,0,0,0,0,0,0,0,0,0,0,30.03,0.05,0,18.61,0,0,0,0.05,8.89,0,0,0.09,0.14,0.97,0,0,0,0,0,0,0,0,0,0,10.15414/jmbfs.2018-19.8.3.885-889,"Explosive, blackberry, cherry, prune, dried fig, dark chocolate and tobacco notes",0,1,0,1,0,0,0,0,1,0
Vidinska Gamza,Storgozia,2017,,Bulgaria,0,24.12,141.95,0,0,0,0,0.05,74.02,173.18,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,30.92,0,88.96,0,0,0.05,25.27,0.05,0.05,0.05,0,0.05,0.09,0.31,0,0,0,0,0,0,0,0,0,0,10.15414/jmbfs.2018-19.8.3.885-889,"candied dark and red cherry, dried rose petals plus a hint of graphite, Dark spices, tobacco leaves, burnt cocoa beans and cassis on the palate with fine-grained tannins",1,1,0,1,0,0,0,0,1,0
Traversa,Tannat,2000,,Uruguay,0,0,0,0,0,0,0,0,0,0,6.93,0.078,0.904,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0.537,0,0.354,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,10.1021/jf030087i,"notes of red berries and raisins, mineral, bright, fresh, tart",0,0,0,1,0,0,0,0,0,0
La Comtesse,Albarino,2015, Pontevedra, Spain,0,0,0,0,0,0,0,0,2.43,0.043,0.043,0,0.83,0.304,0.1193,0.07,0,0.997,5.213,0.092,0.022,0,0,0.596,0,0,0,0,0.208,0.114,0,0,0,0,0,0,0,0,0,0.094,2.155,9.276,2.914,0,0,0,0,0,0.08,10.1016/j.foodres.2020.109533,"creamy aroma, condensed milk, creme brulee, yellow fruit, smoke and bay leaf",1,1,0,1,0,1,0,1,1,0
Armas de Lanzos,Albarino,2015, Pontevedra, Spain,0,0,0,0,0,0,0,0,12.99,0.022,0.022,0,0.57,0.128,7.958,0.044,0,0.765,1.502,0.154,5.553,0,0,0.903,0,0,0,0,0.178,0.038,0,0,0,0,0,0,0,0,0,0.04,1.591,7.431,2.471,0,0,0,0,0,0.071,10.1016/j.foodres.2020.109533,"ripe stone fruits, peach, yellow plum, citrus fruits, honey, balsamic herbs and flowers",1,0,0,0,0,1,0,0,0,1
Albarino de Fefinanes III Ano,Albarino,2016, Pontevedra, Spain,0,0,0,0,0,0,0.026,0,0.0194,0.0194,11.7,0,1.082,0.104,3.085,0.027,0.148,0.47,0.38,0.078,1.127,0,0,1.098,0,0,0,0,0.134,0.333,0,0,0,0,0,0,0,0,0,0.009,0.814,3.256,1.25,0,0,0,0,0,0.039,10.1016/j.foodres.2020.109533,"soft, tropical and white fruits, citrus notes, honey, cream, fresh herbs, flowers and minerals",1,0,0,0,1,1,0,0,0,1
Zarate,Albarino,2016, Pontevedra, Spain,0,0,0,0,0,0,0.027,0,0.0254,0.0254,15.62,0,1.074,0.118,6.421,0.044,0.215,0.636,0.487,0.146,1.214,0,0,1.643,0,0,0,0,0.235,0.539,0,0,0,0,0,0,0,0,0,0.012,1.324,5.072,1.424,0,0,0,0,0,0.035,10.1016/j.foodres.2020.109533,"tropical fruits, pineapple, yellow apples and pears, notes of lime and anise",0,0,0,0,1,1,0,0,0,0
Mar de Frades,Albarino,2017, Pontevedra, Spain,0,0,0,0,0,0,0,0,0.0349,0.0349,14.97,0,1.15,0.219,7.102,0.036,0.263,0.809,0.439,0.213,1.138,0.199,0,3.735,0,0,0,0,0,0.781,0,0,0,0,0,0,0,0,0,0.019,1.728,6.154,1.592,0,0,0,0,0,0,10.1016/j.foodres.2020.109533,"lemon zest, canned pineapple and red apple, sea breeze",0,0,0,0,1,1,0,0,0,0
Abadia de San Campio,Albarino,2017, Pontevedra, Spain,0,0,0,0,0,0,0,0,0.0352,0.0352,0.918,0,0.768,0.279,6.446,0.052,0.374,0.542,0.361,0.47,0.646,0.2,0,8.526,0,0,0,0,0,0.608,0,0,0,0,0,0,0,0,0,0.033,1.13,4.088,1.556,0,0,0,0,0,0,10.1016/j.foodres.2020.109533,"elegant aroma of tropical fruits, apple, anise and lime",1,0,0,0,1,1,0,0,0,0
Abadia de Retuerta Special Selection,"Tempranillo, Cabernet Sauvignon, Merlot",1998,Ribera del Duero,Spain,30.26,0,0,0,652.152,57.893,2.396,0,0,0,0,0,1.478,1.649,0,0,0,0.102,18.945,0,0,0.0015,235.696,0.141,0,22.803,0,0.038,0.17,0.227,0,0,0,0,0.024,0.01,0,0.0029,0,0,3.328,2.135,1.355,2.793,0,2.082,0.265,1.651,0,10.1021/jf0636418," aroma of blackberry, dark chocolate, flint, graphite and spices",1,0,0,1,0,0,0,0,1,0
